Account,GameNumber,Date,StartTime,DayOfWeek,HourOfDay,GameOfDay,GameOfWeek,TimeControl,MyElo,OppElo,Color,ECO,Result,Termination,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResult,2ndLastResult,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,MyCastlingMove,OppCastlingMove,TimeSinceLast
Cosmos_IV,284,2024-06-21,11:38:02,6,12,9,102,300,972,941,white,A45,won,resignation,No,No,No,Yes,No,lost,lost,40,39,230.3,208.4,5.76,5.34,N/A,6,107.00
Cosmos_IV,285,2024-06-21,14:12:09,6,15,10,95,300,980,966,black,B12,won,checkmate,No,No,No,Yes,No,won,lost,33,33,255.3,281.3,7.74,8.52,N/A,11,9016.70
Cosmos_IV,286,2024-06-21,15:21:03,6,16,9,95,600,1480,1533,black,B10,lost,checkmate,No,Yes,No,Yes,No,won,won,41,41,523.1,523.2,12.76,12.76,18,9,3878.70
Cosmos_IV,287,2024-06-21,15:39:10,6,16,10,96,600,1472,1471,white,D00,lost,resignation,Yes,Yes,No,No,No,lost,won,67,66,597.4,484.1,8.92,7.33,14,N/A,563.90
Cosmos_IV,288,2024-06-21,15:58:19,6,16,11,97,600,1479,1432,white,A40,won,checkmate,No,No,Yes,Yes,No,lost,lost,76,76,449.3,557.6,5.91,7.34,22,9,551.60
Cosmos_IV,289,2024-06-21,17:41:21,6,18,11,94,600,1470,1438,black,B12,lost,resignation,No,No,No,Yes,No,won,lost,49,50,502.5,488.3,10.26,9.77,N/A,11,5732.70
Cosmos_IV,290,2024-06-21,17:58:36,6,18,12,93,600,1477,1427,black,B12,won,resignation,No,No,No,Yes,No,lost,won,47,48,222.5,223.2,4.73,4.65,N/A,12,532.50
Cosmos_IV,291,2024-06-21,18:06:38,6,19,13,94,600,1469,1472,white,A45,lost,resignation,No,No,No,Yes,No,won,lost,18,18,218,226.3,12.11,12.57,N/A,18,259.50
Cosmos_IV,292,2024-06-21,18:14:28,6,19,14,95,600,1461,1492,black,B12,lost,resignation,No,No,No,Yes,No,lost,won,18,19,267.6,226.2,14.87,11.91,N/A,16,252.00
Cosmos_IV,293,2024-06-21,18:23:01,6,19,15,96,600,1461,1448,white,D00,draw,agreement,No,No,No,Yes,No,lost,lost,36,36,277.8,256.4,7.72,7.12,N/A,10,245.40
Cosmos_IV,294,2024-06-21,18:32:32,6,19,16,97,600,1469,1461,white,A40,won,resignation,No,Yes,No,Yes,No,draw,lost,23,22,440.3,482.5,19.14,21.93,11,6,293.20
Cosmos_IV,295,2024-06-22,12:45:40,7,13,11,85,600,1461,1473,black,B12,lost,resignation,No,No,No,Yes,No,won,draw,14,15,95.8,43.6,6.84,2.91,N/A,7,65147.70
Cosmos_IV,296,2024-06-22,13:27:09,7,14,12,86,600,1454,1490,black,B12,lost,resignation,No,No,No,No,Yes,lost,won,24,25,377.7,267,15.74,10.68,N/A,13,2393.20
Cosmos_IV,297,2024-06-22,13:38:18,7,14,13,87,600,1446,1463,white,D00,lost,resignation,No,No,Yes,Yes,No,lost,lost,36,36,363.3,248.7,10.09,6.91,18,9,291.30
Cosmos_IV,298,2024-06-22,13:49:04,7,14,14,88,600,1454,1458,white,A45,won,resignation,No,No,No,No,No,lost,lost,52,52,541.5,389.8,10.41,7.5,N/A,N/A,282.70
