Account,IsMonday,IsTuesday,IsWednesday,IsThursday,IsFriday,IsSaturday,IsSunday,TimeOfDay,GameOfDay,GameOfWeek,TimeControl,EloDifference,Color,Result,ICastledFirst,ICastledShort,ICastledLong,OppCastledShort,OppCastledLong,LastResultIsWin,LastResultIsDraw,LastResultIsLoss,2ndLastResultIsWin,2ndLastResultIsDraw,2ndLastResultIsLoss,MyNumMoves,OppNumMoves,MyTotalTime,OppTotalTime,MyAvgTPM,OppAvgTPM,TimeSinceLast,DailyWinPerc,DailyLossPerc,DailyDrawPerc,WeeklyWinPerc,WeeklyLossPerc,WeeklyDrawPerc,ECO_A00,ECO_A40,ECO_A45,ECO_B10,ECO_B12,ECO_B13,ECO_D00,ECO_D02,ECO_D10,ECO_Other
1,1,0,0,0,0,0,0,53210,48,123,600,14,0,2,0,1,0,1,0,0,0,1,1,0,0,28,28,144.4,178.2,5.16,6.36,10301.8,34.04,61.7,4.26,47.54,47.54,4.92,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,53572,49,124,600,-44,0,2,0,0,0,0,0,0,0,1,0,0,1,14,14,151.1,111.1,10.79,7.94,217.6,33.33,62.5,4.17,47.15,47.97,4.88,0,1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,53830,50,125,600,-40,0,1,1,1,0,1,0,0,0,1,0,0,1,102,102,527.8,599.9,5.17,5.88,106.9,32.65,63.27,4.08,46.77,48.39,4.84,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,55013,51,126,600,18,0,2,1,1,0,1,0,0,1,0,0,0,1,28,28,124.4,81.8,4.44,2.92,655.2,32.0,62.0,6.0,46.4,48.0,5.6,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,55238,52,127,600,-37,1,2,0,1,0,1,0,0,0,1,0,1,0,16,17,71.6,36.4,4.48,2.14,100.6,31.37,62.75,5.88,46.03,48.41,5.56,0,0,0,0,0,0,0,0,0,1
1,1,0,0,0,0,0,0,55374,53,128,600,-29,1,2,0,1,0,1,0,0,0,1,0,0,1,38,39,325.6,288.3,8.57,7.39,64.4,30.77,63.46,5.77,45.67,48.82,5.51,0,0,0,0,1,0,0,0,0,0
1,1,0,0,0,0,0,0,81846,31,129,600,6,0,0,1,1,0,0,0,0,0,1,0,0,1,23,22,271.4,289.8,11.8,13.17,26146.4,26.67,66.67,6.67,45.31,49.22,5.47,0,0,0,0,0,0,1,0,0,0
1,1,0,0,0,0,0,0,82427,32,130,600,33,1,0,1,1,0,1,0,1,0,0,0,0,1,23,23,264.0,259.0,11.48,11.26,309.6,29.03,64.52,6.45,45.74,48.84,5.43,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,3230,29,131,600,-23,1,0,1,1,0,1,0,1,0,0,1,0,0,91,91,550.0,496.3,6.04,5.45,6939.0,32.14,60.71,7.14,46.15,48.46,5.38,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,13092,18,131,600,52,0,0,1,1,0,0,0,1,0,0,1,0,0,65,64,454.5,524.0,6.99,8.19,9312.0,29.41,64.71,5.88,46.15,48.46,5.38,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,14118,17,132,600,-29,1,0,0,1,0,1,0,1,0,0,1,0,0,25,25,294.6,195.9,11.78,7.84,571.5,31.25,62.5,6.25,46.56,48.09,5.34,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,14713,18,133,600,32,1,0,0,1,0,0,1,1,0,0,1,0,0,33,34,302.6,340.0,9.17,10.0,300.4,35.29,58.82,5.88,46.97,47.73,5.3,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,15380,18,133,600,30,0,0,0,0,1,0,1,1,0,0,1,0,0,23,22,405.5,473.8,17.63,21.54,364.4,41.18,52.94,5.88,47.73,46.97,5.3,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,33952,15,133,600,-18,1,2,1,1,0,0,0,1,0,0,1,0,0,15,16,80.2,118.4,5.35,7.4,18166.5,50.0,42.86,7.14,47.73,46.97,5.3,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,34184,16,134,600,-19,0,2,0,1,0,1,0,0,0,1,1,0,0,16,16,75.0,51.7,4.69,3.23,151.8,46.67,46.67,6.67,47.37,47.37,5.26,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,34327,17,135,600,-4,0,0,1,1,0,0,0,0,0,1,0,0,1,12,11,40.9,40.4,3.41,3.67,68.0,43.75,50.0,6.25,47.01,47.76,5.22,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,34418,18,136,600,-8,0,2,1,1,0,0,0,1,0,0,0,0,1,9,9,83.2,37.4,9.24,4.16,50.1,47.06,47.06,5.88,47.41,47.41,5.19,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,34550,19,137,600,-21,1,2,1,1,0,1,0,0,0,1,1,0,0,25,26,111.1,85.5,4.44,3.29,48.8,44.44,50.0,5.56,47.06,47.79,5.15,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,34800,20,138,600,62,0,0,1,1,0,1,0,0,0,1,0,0,1,21,20,185.5,217.8,8.83,10.89,138.9,42.11,52.63,5.26,46.72,48.18,5.11,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,35228,21,139,600,76,1,0,0,0,0,1,0,1,0,0,0,0,1,41,42,280.6,310.3,6.84,7.39,242.5,45.0,50.0,5.0,47.1,47.83,5.07,1,0,0,0,0,0,0,0,0,0
1,0,1,0,0,0,0,0,35847,22,139,600,12,0,2,1,1,0,0,0,1,0,0,1,0,0,13,13,63.0,26.4,4.85,2.03,338.4,47.62,47.62,4.76,47.1,47.83,5.07,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,36102,23,140,600,11,1,2,0,0,0,1,0,0,0,1,1,0,0,6,7,23.5,19.0,3.92,2.71,192.0,45.45,50.0,4.55,46.76,48.2,5.04,0,0,0,0,0,0,0,0,0,1
1,0,1,0,0,0,0,0,36158,24,141,600,25,0,0,0,0,0,0,0,0,0,1,0,0,1,11,10,32.0,65.2,2.91,6.52,32.5,43.48,52.17,4.35,46.43,48.57,5.0,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,36264,25,142,600,22,0,2,0,1,0,1,0,1,0,0,0,0,1,62,61,509.7,355.9,8.22,5.83,74.0,45.83,50.0,4.17,46.81,48.23,4.96,0,0,0,0,0,0,1,0,0,0
1,0,1,0,0,0,0,0,37177,26,143,600,-43,1,2,0,1,0,1,0,0,0,1,1,0,0,27,28,299.3,390.1,11.09,13.93,403.3,44.0,52.0,4.0,46.48,48.59,4.93,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,23540,13,137,600,-27,0,2,1,1,0,1,0,0,0,1,0,0,1,64,64,295.1,376.2,4.61,5.88,72463.7,33.33,66.67,0.0,44.85,50.0,5.15,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,24248,14,138,600,45,1,0,0,0,0,0,0,0,0,1,0,0,1,13,13,44.4,44.4,3.42,3.42,412.9,30.77,69.23,0.0,44.53,50.36,5.11,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,24343,15,139,600,33,1,0,0,1,0,1,0,1,0,0,0,0,1,34,34,367.9,462.9,10.82,13.61,50.6,35.71,64.29,0.0,44.93,50.0,5.07,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,25201,16,140,600,-38,0,2,1,1,0,0,0,1,0,0,1,0,0,9,9,65.0,46.3,7.22,5.14,490.1,40.0,60.0,0.0,45.32,49.64,5.04,0,1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,25328,17,141,600,2,0,0,0,0,0,1,0,0,0,1,1,0,0,16,15,150.2,109.2,9.39,7.28,62.0,37.5,62.5,0.0,45.0,50.0,5.0,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,25599,18,142,600,-5,0,0,0,0,0,1,0,1,0,0,0,0,1,20,19,180.6,204.4,9.03,10.76,120.8,41.18,58.82,0.0,45.39,49.65,4.96,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,26068,19,143,600,33,1,0,0,0,0,1,0,1,0,0,1,0,0,32,32,158.5,143.7,4.95,4.49,288.4,44.44,55.56,0.0,45.77,49.3,4.93,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,27606,20,144,600,17,1,0,0,1,0,0,1,1,0,0,1,0,0,20,20,263.0,126.1,13.15,6.31,1379.5,47.37,52.63,0.0,46.15,48.95,4.9,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,28029,21,145,600,-8,0,0,1,1,0,0,0,1,0,0,1,0,0,36,35,254.3,285.0,7.06,8.14,160.0,50.0,50.0,0.0,46.53,48.61,4.86,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,31532,22,146,600,30,1,2,1,1,0,0,1,1,0,0,1,0,0,27,28,195.9,239.0,7.26,8.54,3248.7,52.38,47.62,0.0,46.9,48.28,4.83,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,32000,23,147,600,15,0,2,1,1,0,0,1,0,0,1,1,0,0,36,36,524.2,411.5,14.56,11.43,272.1,50.0,50.0,0.0,46.58,48.63,4.79,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,32963,24,148,600,-41,0,2,1,1,0,1,0,0,0,1,0,0,1,39,39,358.4,270.1,9.19,6.93,438.8,47.83,52.17,0.0,46.26,48.98,4.76,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,33620,25,149,600,-18,1,2,0,0,0,0,0,0,0,1,0,0,1,3,4,7.6,59.6,2.53,14.9,298.6,45.83,54.17,0.0,45.95,49.32,4.73,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,33695,26,150,600,4,1,0,1,1,0,0,0,0,0,1,0,0,1,23,24,176.1,445.9,7.66,18.58,67.4,44.0,56.0,0.0,45.64,49.66,4.7,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,83093,15,150,600,-37,0,2,0,1,0,1,0,1,0,0,0,0,1,55,54,427.5,475.5,7.77,8.81,49221.9,57.14,42.86,0.0,45.64,49.66,4.7,0,0,0,0,0,0,1,0,0,0
1,0,0,1,0,0,0,0,84312,16,151,600,-18,1,0,0,1,0,1,0,0,0,1,1,0,0,31,31,378.3,421.0,12.2,13.58,791.5,53.33,46.67,0.0,45.33,50.0,4.67,0,0,0,0,0,0,0,0,0,1
1,0,0,1,0,0,0,0,85326,17,152,600,-57,0,2,1,1,0,0,0,1,0,0,0,0,1,21,21,230.9,153.1,11.0,7.29,635.7,56.25,43.75,0.0,45.7,49.67,4.64,0,0,1,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,85731,18,153,600,-58,1,2,0,0,0,0,0,0,0,1,1,0,0,4,5,15.1,11.9,3.78,2.38,174.1,52.94,47.06,0.0,45.39,50.0,4.61,0,0,0,0,0,0,0,0,0,1
